N, SortStr, Year, Month, Day, Nick, Added, Text
1, 01_01_2007, 2007, 01, 01, n/a, 1175318371, НОВЫЙ ГОД! ВСЕМ ЗДОРОВЬЯ, СЧАСТЬЯ, ЛЮБВИ, УДАЧИ, УСПЕХОВ В ЖИЗНИ, ПУСТЬ ВСЕ БУДЕТ ХОРОШО В ВАШЕЙ ЖИЗНИ!
2, 01_01_2007, 2007, 01, 01, n/a, 1175318371, Национальный день Кубы, Судана и Гаити
3, 01_01_2007, 2007, 01, 01, n/a, 1175318371, День памяти былинного богатыря Ильи Муромца
4, 01_01_2007, 2007, 01, 01, n/a, 1175318371, Начало эпохи в Unix (1970)
5, 01_01_2007, 2007, 01, 01, n/a, 1175318371, ARPANET меняет основной протокол с NCP на TCP/IP, что и привело к появлению современного интернета (1983)
6, 01_01_2007, 2007, 01, 01, n/a, 1175318371, В 10:00 по московскому времени «Газпром» прекращает поставки природного газа на Украину (2006)
7, 01_01_2009, 2009, 01, 01, antiPhone_, 1230772726, В 10:00 по московскому времени `Газпром` прекращает поставки природного газа на Украину (2009)
8, 01_02_1959, 1959, 01, 02, n/a, 1175318371, Луноход `Луна-1` совершил посадку на Луну
9, 01_02_2007, 2007, 01, 02, n/a, 1175318371, Начато сооружение Бруклинского моста (1870)
10, 01_02_2007, 2007, 01, 02, n/a, 1175318371, В Москве впервые состоялись соревнования летающих авиамоделей (1910)
11, 01_02_2007, 2007, 01, 02, n/a, 1175318371, Образована Сахалинская область (выведена из состава Хабаровского края) (1947)
12, 01_02_2007, 2007, 01, 02, n/a, 1175318371, Запуск первой автоматической межпланетной станции «Луна-1» и пролёт ею Луны. Первый искусственный спутник Солнца. Первый в мире космический зонд (1959)
13, 01_02_2007, 2007, 01, 02, n/a, 1175318371, В результате катастрофы индонезийского лайнера погибли более 90 человек (2007)
14, 01_02_2008, 2008, 01, 02, zloy, 1422871266, День рождения Лерка
15, 01_03_0008, 0008, 01, 03, antiwifi, 1199522241, Умер Womanhater - верный друг и товарищ antihome (03.02.2002-03.01.2008)
16, 01_03_2007, 2007, 01, 03, n/a, 1175318371, В Москве подписан Договор между Россией и США о дальнейшем сокращении и ограничении стратегических наступательных вооружений (договор СНВ-2) (1993)
17, 01_03_2008, 2008, 01, 03, antihome, 1199346958, Скончался известный актер Александр Абдулов (2008)
18, 01_04_2006, 2006, 01, 04, n/a, 1175318371, Земля проходит плотное центральное сгущение метеорного роя Квадрантидов
19, 01_04_2006, 2006, 01, 04, n/a, 1175318371, Провозглашена независимость Бирмы (1948)
20, 01_04_2006, 2006, 01, 04, n/a, 1175318371, Луна-1 стала первым космическим аппаратом, достигшим окрестностей Луны (1959)
21, 01_04_2006, 2006, 01, 04, n/a, 1175318371, Марсоход «Спирит» совершил посадку на Марсе (2004)
22, 01_04_2006, 2006, 01, 04, n/a, 1175318371, В результате Революции роз президентом Грузии избран Михаил Саакашвили (2004)
23, 01_04_2006, 2006, 01, 04, n/a, 1175318371, «Газпром» возобновляет поставки природного газа на Украину (2006)
24, 01_05_2007, 2007, 01, 05, n/a, 1175318371, Джеймс Уатт получает патент на свою паровую машину (1769)
25, 01_05_2007, 2007, 01, 05, n/a, 1175318371, Открыты рентгеновские лучи (1895)
26, 01_05_2007, 2007, 01, 05, n/a, 1175318371, Начало работ по созданию в США многоразового транспортного космического корабля (1972)
27, 01_06_1970, 0000, 01, 06, n/a, 1175318371, Рождественский сочельник
28, 01_06_2007, 2007, 01, 06, n/a, 1175318371, Рождественский сочельник
29, 01_06_2007, 2007, 01, 06, n/a, 1175318371, Крещение Господне у католиков
30, 01_06_2007, 2007, 01, 06, n/a, 1175318371, Прошла первая перепись населения СССР (1937)
31, 01_06_2007, 2007, 01, 06, n/a, 1175318371, Для личного состава Красной Армии введены погоны (1943)
32, 01_06_2007, 2007, 01, 06, n/a, 1175318371, Образована Липецкая область в составе РСФСР (1954)
33, 01_06_2007, 2007, 01, 06, n/a, 1175318371, Самопровозглашённая Нагорно-Карабахская Республика объявляет независимость (1992)
34, 01_06_2009, 2009, 01, 06, antihome, 1231270457, Онановка у antihome успешно проонанена. `Хоронили тещу, порвали два баяна` (2009)
35, 01_07_1610, 1610, 01, 07, n/a, 1175318371, Открытие Юпитера Г.Галилеем.
36, 01_07_1970, 0000, 01, 07, n/a, 1175318371, Рождество Христово (православное)
37, 01_07_2006, 2006, 01, 07, n/a, 1175318371, Кеметистский праздник - Рождество Осирисово
38, 01_07_2006, 2006, 01, 07, n/a, 1175318371, Православный праздник — Рождество Христово
39, 01_07_2006, 2006, 01, 07, n/a, 1175318371, Открытие четырёх крупнейших спутников Юпитера Галилео Галилеем (1610)
40, 01_08_0007, 0007, 01, 08, n/a, 1175318371, Родился Элвис Пресли (1935)
41, 01_08_0007, 0007, 01, 08, n/a, 1175318371, Родился Дэвид Боуи (1947)
42, 01_08_0007, 0007, 01, 08, n/a, 1175318371, Американский изобретатель Герман Холлерит патентует в 1889г свой табулятор, первое устройство для обработки данных; его фирма позже станет одной из основателей компании IBM
43, 01_08_0007, 0007, 01, 08, n/a, 1175318371, Разгром Новгорода Иваном Грозным (1570)
44, 01_08_2007, 2007, 01, 08, n/a, 1175318371, Прошла церемония «крещения» морского суперлайнера «Queen Mary 2» (2004)
45, 01_09_1905, 1905, 01, 09, n/a, 1175318371, Кровавое воскресенье. Начало первой российской революции
46, 01_09_2006, 2006, 01, 09, n/a, 1175318371, Официально открыто здание штаб-квартиры ООН в Нью-Йорке (1951)
47, 01_09_2006, 2006, 01, 09, n/a, 1175318371, На президентских выборах в Палестинской Автономии побеждает бывший премьер-министр Палестины Махмуд Аббас (2005)
48, 01_09_2018, 2018, 01, 09, @ncuxonycbka, 1547025438, @ncuxonycbka наконец добавила _ADDDATE_
49, 01_10_1970, 0000, 01, 10, n/a, 1175318371, Праздник Вуду в Бенине
50, 01_10_2006, 2006, 01, 10, n/a, 1175318371, В Лондоне запущена первая линия метрополитена (3,6 км) (1863)
51, 01_10_2006, 2006, 01, 10, n/a, 1175318371, Первое заседание Генеральной Ассамблеи ООН в Лондоне, на котором представлено 51 государство (1946)
52, 01_10_2006, 2006, 01, 10, n/a, 1175318371, Первый выход в свет Wikipedia как части «Нупедии». Через 5 дней Wikipedia становится самостоятельным сайтом (2001)
53, 01_11_1970, 0000, 01, 11, n/a, 1175318371, День заповедников
54, 01_11_1970, 0000, 01, 11, n/a, 1175318371, Всемирный день `спасибо`
55, 01_11_2007, 2007, 01, 11, n/a, 1175318371, День заповедников и национальных парков
56, 01_11_2007, 2007, 01, 11, n/a, 1175318371, Национальный день благодарности (National Thank You Day) в США
57, 01_11_2007, 2007, 01, 11, n/a, 1175318371, Извержение вулкана Этна на Сицилии (1693)
58, 01_11_2007, 2007, 01, 11, n/a, 1175318371, Уильям Хершель открыл существование спутников планеты Уран, Титании и Оберона (1787)
59, 01_11_2007, 2007, 01, 11, n/a, 1175318371, В Лондоне открылся вокзал Чаринг Кросс (1864)
60, 01_11_2007, 2007, 01, 11, n/a, 1175318371, На территории России создан первый заповедник — Баргузинский. С 1997 года отмечается как День заповедников (1917)
61, 01_11_2007, 2007, 01, 11, n/a, 1175318371, Четырнадцатилетний канадец Леонард Томпсон стал первым в мире человеком, которого вылечили от диабета при помощи инсулина (1922)
62, 01_11_2007, 2007, 01, 11, n/a, 1175318371, Американская женщина-авиатор Амелиа Эрхарт совершила одиночный перелет через Тихий океан (1935)
63, 01_11_2007, 2007, 01, 11, n/a, 1175318371, В Лос-Анджелесе открылась первая дискотека, называвшаяся Whisky-A-Go-Go (1963)
64, 01_11_2007, 2007, 01, 11, n/a, 1175318371, Начал работу новый парламент России — Федеральное собрание, избранный 12 декабря 1993 г. и состоящий из двух палат: верхней — Совета Федерации и нижней — Государственной думы (1994)
65, 01_12_1722, 1722, 01, 12, n/a, 1175318371, День работника прокуратуры Российской Федерации
66, 01_12_1918, 1918, 01, 12, n/a, 1175318371, Декларация прав трудящихся и эксплуатируемого народа
67, 01_12_2006, 2006, 01, 12, n/a, 1175318371, День работника прокуратуры Российской Федерации
68, 01_12_2006, 2006, 01, 12, n/a, 1175318371, Хэтти Кэрэуэй, демократ из Арканзаса, стала первой женщиной-сенатором (1932)
69, 01_12_2006, 2006, 01, 12, n/a, 1175318371, Реактивный самолет Boeing 747 Jumbo прибыл в лондонский аэропорт `Хитроу` после первого испытательного полета из Нью-Йорка (1970)
70, 01_12_2006, 2006, 01, 12, n/a, 1175318371, Обе палаты Конгресса США разрешили президенту Джорджу Бушу использовать силу для прекращения агрессии Ирака в Кувейте (1991)
71, 01_12_2006, 2006, 01, 12, n/a, 1175318371, Крупнейшее в мире круизное судно Queen Mary 2 совершило свое первое плавание через Атлантический океан (2004)
72, 01_12_2006, 2006, 01, 12, n/a, 1175318371, C мыса Канаверал запущен космический аппарат Deep Impact (2005)
73, 01_12_2006, 2006, 01, 12, n/a, 1175318371, 100 лет со дня рождения конструктора Сергея Королева (2007)
74, 01_12_2006, 2006, 01, 12, n/a, 1175318371, Mity_dvk ушел из департамента вялых корнеплодов (2007)
75, 01_13_1970, 0000, 01, 13, n/a, 1175318371, День российской печати
76, 01_13_2006, 2006, 01, 13, n/a, 1175318371, День российской печати
77, 01_13_2006, 2006, 01, 13, n/a, 1175318371, День защитников свободы в Литве
78, 01_13_2006, 2006, 01, 13, n/a, 1175318371, Вышел первый номер газеты «Ведомости». Это была первая в России газета (1703)
79, 01_14_1970, 0000, 01, 14, n/a, 1175318371, Старый Новый год
80, 01_14_2006, 2006, 01, 14, n/a, 1175318371, Старый Новый год - отмечает Русская православная церковь новый год по юлианскому календарю. Встречался в России до февраля 1918 года.
81, 01_14_2006, 2006, 01, 14, n/a, 1175318371, Космический зонд «Гюйгенс» совершил посадку на Титан (2005)
82, 01_14_2009, 2009, 01, 14, antihome, 1231955869, antihome слил свой первый террабайт (2009)
83, 01_15_2007, 2007, 01, 15, n/a, 1175318371, День Википедии — в 2001 стала доступной первая версия Википедии
84, 01_15_2007, 2007, 01, 15, n/a, 1175318371, Вернулась на Землю капсула аппарата «Стардаст», содержащая образцы космического вещества (2006)
85, 01_15_2007, 2007, 01, 15, n/a, 1175318371, До конца года остаётся 350 дней
86, 01_15_2007, 2007, 01, 15, n/a, 1175318371, Родился Максим Исаакович Дунаевский (1945)
87, 01_16_2007, 2007, 01, 16, n/a, 1175318371, В США вступил в силу сухой закон (1920)
88, 01_16_2007, 2007, 01, 16, n/a, 1175318371, Советские космические корабли «Союз-4» и «Союз-5» провели первую пилотируемую стыковку на орбите Земли (1969)
89, 01_16_2007, 2007, 01, 16, n/a, 1175318371, Анатолий Чубайс ушёл в отставку с поста первого вице-премьера России (1996)
90, 01_16_2007, 2007, 01, 16, n/a, 1175318371, США запустили к Международной космической станции корабль-челнок «Колумбия», на борту которого находился первый астронавт Израиля. Шаттл потерпел крушение по возвращении на Землю 1 февраля, все семеро астронавтов погибли (2003)
91, 01_16_2007, 2007, 01, 16, n/a, 1175318371, Годовщина открытия Антарктиды кораблями Беллинсгаузена и Лазарева (1820)
92, 01_16_2007, 2007, 01, 16, n/a, 1175318371, Петр I запретил в России браки по принуждению (1724)
93, 01_16_2007, 2007, 01, 16, n/a, 1175318371, На III съезде Советов донской казак Шамов выдвинул лозунг `Грабь награбленное!` (1918)
